name,skill_passive,skill_1,skill_1_cooling,skill_1_cost,skill_2,skill_2_cooling,skill_2_cost,R,R_cooling,R_cost,weapon_1,weapon_2,weapon_3,weapon_4,weapon_5,weapon_6,搭配英雄1,搭配英雄2,克制英雄1,克制英雄2,被克制英雄1,被克制英雄2,attack_range,MP,MP_recover,magic_defense,attack,defense,HP,HP_recover,speed,tag
铠,被动：铠拥有精湛的战斗技巧，如果铠的挥砍（普攻与2技能）只命中了一个单位，则这个单位将受到50%额外伤害。,铠向前投掷刀刃，在敌人中最多弹射4次，对目标造成150/180/210/240/270/300（+60%物理加成）点物理伤害与减速效果；命中的第一个目标将会受到额外减速效果；如果该技能命中至少一个单位，则会增加移动速度，回复105/126/147/168/189/210（+42%物理加成）点生命值与30%的冷却时间,10,60,铠向前方连续挥砍，造成80/96/112/128/144/160（+30%物理加成）点物理伤害，第二刀会造成额外的击飞效果，同时使得下一次普通攻击获得额外80（+30%物理加成）点成物理伤害和冲锋效果。被动：脱离战斗后铠的生命、能量恢复每秒回复1%、移动速度提升10/12/14/16/18/20点,6,50,在1秒的延迟后铠召唤魔铠，造成范围300/400/500点法术伤害，并强化自身100/150/200点攻击力、50点移动速度、40/60/80点伤害格挡，同时对周围敌人造成60点法术伤害并持续8秒,50/45/40,120,暗影战斧,影忍之足,宗师之力,破军,反伤刺甲,暴烈之甲,宫本武藏,花木兰,鲁班七号,后羿,芈月,诸葛亮,近程,440,16,50,176,107,3375,44,390, 战士  坦克 
鬼谷子,被动：鬼谷子脱离敌方视野3秒后，玄微子会再次归巢到法杖中，使得鬼谷子的下一次普攻强化至300（+45%法术加成）点法术伤害（可触发装备技能效果），造成区域减速效果。若发出强化普攻瞬间鬼谷子处于敌方视野外，该技能冷却时间延长至10秒,鬼谷子命令玄微子包裹自身，使自己与周围环境融为一体并提升移动速度，伪装效果会在鬼谷子用本技能以外伤害敌人时移除。加速期间，鬼谷子对触碰的每个敌人可造成450/540/630/720/810/900（+60%法术加成）点法术伤害(最多1次)，并降低该敌人的护甲和魔抗，持续4秒,10,70,鬼谷子持续引导大量玄微子在自身周围聚集，对周围区域敌人持续造成100/120/140/160/180/200（+15%法术加成）点法术伤害。玄微子在2秒后集结完毕，再次对区域内敌人造成400（+60%法术加成）点法术伤害，同时将敌人拉扯到鬼谷子身旁并晕眩1.5秒，若该伤害命中敌方英雄，鬼谷子和该区域内队友将获得500/600/700/800/900/1000（+100%法术加成）点护盾,10/9.6/9.2/8.8/8.4/8,80,鬼谷子命令玄微子包裹自身和1500距离内的队友，使自己和队友提高移速并在1秒延迟后进入伪装状态，同时探查到距离鬼谷子最近的一名敌方英雄视野。这些效果在开启技能后最多持续4秒，伪装者若使用普攻、技能或敌方造成负面效果会立即解除伪装状态,35/30/25,120,影忍之足,痛苦面具,冰霜法杖,冰痕之握,不死鸟之眼,虚无法杖,兰陵王,李白,鲁班七号,王昭君,马可波罗,李元芳,远程,450,16,50,162,92,3322,47,350, 隐身  辅助 
干将莫邪,被动：飞剑攻击会残留持续5秒的雌雄两种剑气，剑气伤害会被其他飞剑触发，贴身范围未成型的剑胚无法残留剑气。剑气造成350（+30%法术加成）点法术伤害。普攻可以使用未成型的飞剑造成300（+25%法术加成）点法术伤害。,干将将剑冢用力向前推刺出并造成300/350/400/450/500/550（+50%法术加成）点法术伤害，范围内敌人被朝同一方向击飞击退。被动：每次击败英雄或助攻会增加自身永远法术强度15点，最高300点。,12/11/10/9/8/7,80,凌空成剑，雌雄双剑以不同的曲型弹道飞行对敌方造成450/540/630/720/810/900（+40%法术加成）点法术伤害。,8,40,凌空成剑，雌雄双剑以不同的曲型弹道飞行对敌方造成450/540/630/720/810/900（+40%法术加成）点法术伤害。,1/8/00,40,近卫荣耀,冷静之靴,圣杯,极寒风暴,梦魇之牙,贤者之书,项羽,安琪拉,虞姬,鲁班七号,兰陵王,花木兰,进程,490,17,50,159,92,3189,45,380, 远程消耗  法师 
东皇太一,被动：祭典创造出来的黑暗能量体，极不稳定，被黑暗能量体触碰到都会造成100（+敌方3%最大生命值）（50%法术加成）点法术伤害，并回复东皇太一100（自身最大生命3%）（+40%法术加成）点血量，非英雄单位回复少额最大生命百分比的血量,释放力量对周围造成300/360/420/480/540/600（+40%法术加成）点法术伤害并创造出黑暗能量体在身边环绕，黑暗能量体存在的状态下再次释放祭典会增强黑暗能量体的数量，命中单位归还一半CD。黑暗能量体的数量决定了曜龙烛兆的威力，最大三颗,5,60,消耗黑暗能量体，召唤曜龙对一个范围进行冲击，释放后东皇获得短暂加速。冲击造成500/600/700/800/900/1000（+60%法术加成）点法术伤害。黑暗能量体的数量决定了冲击的次数和冲击的威力，第一次造成1秒50%的减速，第二次造成1秒90%的减速，第三次冲击造成范围击晕1秒。,6,75,东皇太一压制敌方英雄并创造一个维持2.5秒的契约链接，强大的能量溢出直接获得3颗黑暗能量体。契约期间双方受到的伤害都会对彼此造成同等伤害且自身无法进行任何操作，强大的堕神契约无法被净化,50/45/40,100,抵抗之靴,不死鸟之眼,极寒风暴,痛苦面具,冰霜法杖,贤者的庇护,关羽,嬴政,阿轲,李白,蔡文姬,牛魔,远程,470,17,50,163,99,3201,53,340, 控制  坦克 
大乔,被动：大乔提升自身与附近友军英雄40-60移动速度（每3级提升5点）,大乔召唤鲤鱼向指定方向跳跃，对于路径上的敌人造成550/700/850/1000（+56%法术加成）点法术伤害与击退效果，鲤鱼经过的区域会在一段时间4秒内持续增加区域内友军的移动速度,7,70,大乔召唤法阵，法阵消失时会将法阵内友军英雄（包括大乔）传送回出生点并获得加速效果持续3/4/5/6秒，同时回复其全部生命,10,50,大乔在指定位置召唤海潮连续喷涌，每次喷涌造成180/210/240/270（+20%法术加成）点法术伤害，海潮会在原地持续4秒，对进入区域的敌人造成沉默效果,12/11/10/9,80,圣杯,疾步之靴,奔狼纹章,冰痕之握,痛苦面具,贤者之书,赵云,花木兰,王昭君,钟馗,阿轲,韩信,远程,470,17,50,168,93,2958,42,360, 辅助  传送 
黄忠,被动：黄忠普攻命中目标将不断激怒自己，获得1.5%暴击率和1%攻击力加成的效果（重装炮塔状态下效果翻倍），持续1.5秒，最多叠加5层,黄忠短时间大量提升自身移速，持续2秒，如果是在架起状态，可瞬间取消架起状态.被动：增加黄忠40/52/64/76/88/100点物理攻击,10,50,黄忠向指定地点放置警戒地雷，同时获得视野效果，敌方英雄在地雷范围内可触发造成200/240/280/320/360/400（+60%物理加成）点物理伤害，对英雄额外造成50%减速效果与15/18/21/24/27/30%的破甲效果，持续2秒，同时自身获得护盾，可吸收200/240/280/320/360/400（+50%物理加成）点伤害。地雷最多存在2个,8/7.6/7.2/6.8/6.4/6,80,黄忠进入架起状态，持续15秒，期间普攻射程得到提升（5秒后扩大到最远距离），对敌人造成范围60/88/116（+80%物理加成）点物理伤害（伤害随时间增加，每秒增长20%，最高100%），目标距离越近伤害越低，最低衰减至70%。物理和法术护甲额外增加60/120/180点，自身不能移动，再次施法后架起状态取消,2008/6/4,80,闪电匕首,无尽战刃,泣血之刃,急速战靴,破甲弓,影刃,项羽,蔡文姬,鲁班七号,扁鹊,兰陵王,花木兰,远程,440,16,50,172,91,3173,39,340, 射手  消耗  收割 
诸葛亮,被动：诸葛亮技能命中敌人时，会为自己施加谋略刻印，当刻印达到5层时，会召唤5颗法球围绕自身，短暂时间后依次飞出攻击附近的敌人（优先英雄）造成270(+52%法术加成)点法术伤害。法球在1秒内连续命中同一目标时，伤害会衰减到20%。（法球不会攻击非战斗状态的野怪）,诸葛亮朝面前发射三颗法球，对一条路径上的敌人造成500/560/620/680/740/800（+75%法术加成）点法术伤害。如果敌人被多颗法球同时命中，额外的法球只会造成30%的伤害.每颗法球只能触发1次谋略刻印。,8/7.4/6.8/6.2/5.6/5,60,诸葛亮快速朝指定方向闪烁，并在起始位置和终点位置同时产生一次法力场，对附近的敌人造成350/420/490/560/630/700（+52%法术加成）点法术伤害（被多个法力场命中时只造成50%伤害）.如果敌人在5秒内多次受到法力场的影响，会造成90%的减速效果（短时间内衰减），持续3秒，每个法力场命中敌人时，只产生1次谋略刻印。该技能可储备至多3次，并随时间获取使用次数(受冷却缩减影响)。,2,50,诸葛亮短暂蓄力后（期间可以移动和释放时空穿梭）对指定目标发出一击强力元气弹，对其造成360/450/540（+54%法术加成）点法术伤害并附带目标已损生命值30%的额外伤害，产生1层谋略刻印。元气弹可以被其它的英雄阻挡。如果元气弹直接击败敌方英雄，立即触发被动策谋之刻，并返还该技能80%的冷却时间。飞行过程中触碰非英雄单位，将会造成法术伤害并击飞。,35/30/25,120,回响之杖,秘法之靴,噬神之书,冰霜法杖,博学者之怒,贤者之书,程咬金,赵云,阿轲,露娜,兰陵王,花木兰,远程,490,18,50,156,87,3135,44,360, 突进  法师  高爆发 
哪吒,被动：哪吒每次用枪造成的伤害和使用乾坤圈都会在敌人身上残留炙炼火种造成3秒灼烧伤害并且限制目标25%的生命回复,哪吒挥枪攻击四周的敌人造成350/390/430/470/510/550(+68%物理加成)点物理伤害。每击中一个敌方英雄都会获得风火轮提供移动10%加速效果，最大可提速50%，持续2秒。,5,55,哪吒用混天绫短暂束缚敌人，迅速俯冲向目标，并翻越至目标另一侧.施法后自动触发【火莲之印】减免所受15%/16%/17%/18%/19%/20%伤害。【火莲之印】持续3秒，该技能4秒内可再次释放,12/11.6/11.2/10.8/10.4/10,65,对敌英雄施加乾坤圈提供视野并打断其回城.可选择高速冲到敌方英雄造成600/800/1000（+100%物理加成）点物理伤害并击退，落地后触发一次【火莲之印】，并额外触发【火莲之华】获得韧性且每秒对罩内敌人反复施加炙炼火种，冲敌过程中可以再次释放技能放弃冲敌。,90/85/80,140,红莲斗篷,抵抗之靴,暗影战斧,魔女斗篷,不祥征兆,贤者的庇护,韩信,花木兰,王昭君,狄仁杰,张良,貂蝉,近程,450,16,50,159,99,3483,53,380, 战士  突进 
太乙真人,被动：周围每次有敌方非英雄单位死亡时（包括小兵和野怪），太乙真人和周围的友方英雄都会额外获得25%金币,太乙真人使用炉子炼制药剂，期间获得移速加成效果持续5秒，持续时间内可以随时停止炼制，停止炼制或达到最大炼制时间后，药剂会发生爆炸，对周围敌人最多造成750/990/1230/1470/1710/1950（+270%法术加成）点法术伤害和晕眩，炼制时间越长，伤害越高，晕眩时间越长,5,65,太乙真人的炉子伸出一只触手，把自己拉向触达的第一个单位，如果目标是敌方单位，还会额外受到450/500/550/600/650/700（+80%法术加成）点法术伤害和短暂眩晕.,10/9.2/8.4/7.6/6.8/6,65,召唤替身傀儡，保护自己和周围一个血量最低的友方英雄（可在被控制时使用），持续3秒，持续时间内自己或者被保护的英雄死亡，会在2秒后复活获得1500/2250/3000（+250%法术加成）点生命.复活时对周围的敌人造成600/750/900（+80%法术加成）点法术伤害和减速.,80/70/60,150,近卫荣耀,冷静之靴,圣杯,极寒风暴,梦魇之牙,贤者之书,孙尚香,马可波罗,露娜,韩信,孙尚香,露娜,近程,430,15,50,162,106,2862,44,410, 辅助  魔法 
杨戬,被动：附近敌方英雄数量会减低杨戬所受控制时间10%，至多30%,杨戬召唤哮天犬朝指定方向发起冲锋，对触碰的敌人造成150/180/210/240/270/300（+54%物理加成）点物理伤害。再次释放该技能，杨戬将冲向被哮天犬标记的敌人发起一次攻击，造成225（+81%物理加成）点物理伤害并附加目标已损生命值16%的物理伤害，如果杨戬直接击杀目标，将立即刷新该技能冷却时间。,8/7.6/7.2/6.8/6.4/6,60,杨戬横扫面前的区域，对敌人造成250/300/350/400/450/500（+85%物理加成）点物理伤害，并造成减速效果，如果目标生命值百分比高于杨戬，将会受到晕眩效果。命中敌人后，强化自身普通攻击附带60/96/132/168/204/240（+30%物理加成）点真实伤害，持续5秒,12/11.6/11.2/10.8/10.4/10,70,杨戬利用天眼释放激光，攻击一条路径上的敌人，造成250/315/380（+85%物理加成）点物理伤害。激光命中敌人时，杨戬会获得治疗，治疗量相当于伤害值的50%。杨戬可以在短时间内连续释放3次，第三次将会发出3道激光，同时被多道激光命中时只会造成30%的伤害,30/25/20,100,红莲斗篷,抵抗之靴,宗师之力,不死鸟之眼,破军,暴烈之甲,韩信,项羽,后羿,小乔,孙尚香,貂蝉,近程,420,15,50,1665,98,3339,51,380, 战士  突进  收割 
成吉思汗,被动：成吉思汗穿越草丛时会短暂提升移动速度，并强化短时内下一次普攻射出两箭(该效果有4秒冷却)，每支箭矢造成0（+65%物理加成）点物理伤害,成吉思汗释放猎鹰侦查，照亮周围区域并获取其中敌人的视野，持续5秒.可准备2只猎鹰.被动：箭矢第3次伤害同一目标时会额外造成80/160/240/320/400/480（+40%物理加成）点物理伤害,4,80,投掷最多存在2分钟的陷阱，陷阱被敌人触发后生成减速30%的区域，暴露其中敌人视野，短暂延迟后对区域内造成360/432/504/576/648/720（+120%物理加成）点物理伤害。最多同时放置2个陷阱，未被触发的陷阱落地2秒后隐形,2,60,成吉思汗骑行中对敌人射出箭矢造成160/240/320（+100%物理加成）点物理伤害，触发普攻法球效果并可以暴击。可储备5次使用次数，并随时间获取使用次数。,1/2/00,30,闪电匕首,无尽战刃,泣血之刃,急速战靴,破甲弓,影刃,孙膑,牛魔,项羽,鲁班七号,兰陵王,花木兰,远程,440,15,50,184,94,3027,37,370, 先手  射手  收割 
橘右京,被动：每间隔5秒，橘右京下一次普攻将进行一次强力拔刀斩，对前方敌人造成120%物理加成物理伤害并减速.处于攻击边缘的敌人将承受50%的额外伤害.,橘右京向后方进行跳跃，同时出剑，对附近的敌人造成200/240/280/320/360/400（+145%物理加成）点物理伤害，如果成功命中一名敌方英雄，该技能冷却时间缩短3秒.,8,0,橘右京快速出剑，对一条路径上的第一个敌人造成330/375/420/465/510/555（+212%物理加成）点物理伤害，后续敌人承受的伤害衰减50%，被剑气末端命中的敌人，将会被短暂晕眩.,10/9.5/9/8.5/8/7.5,0,橘右京持续出剑，攻击面前的敌人，每段造成100/150/200（+70%物理加成）点物理伤害，每次出剑命中敌方英雄，将回复自身生命值70/100/130（+35%物理加成）点.,12/11.5/11,0,暗影战斧,抵抗之靴,宗师之力,泣血之刃,破甲弓,贤者的庇护,孙膑,花木兰,老夫子,花木兰,鲁班七号,王昭君,近程,0,0,50,165,96,3150,48,390, 战士  突进 
马可波罗,被动：马可波罗每一次普通攻击都会连续发射两枪，第一枪命中造成70%物理加成点物理伤害，第二枪命中造成40%物理加成点物理伤害。,马可波罗向指定方向连续射击并加速，每一枪造成140/154/168/182/196/210（+12%物理加成）点物理伤害都能触发普攻的法球效果，命中回复10点能量，额外攻击速度会影响技能射出的子弹数目，在攻速达到0/75%/150%时射出子弹数5/7/9。,7/6.6/6.2/5.8/5.4/5,70,马可波罗向指定方向翻滚，并使得接下来3秒攻击附带35/41/47/53/59/65（+11%物理加成）点法术伤害。,5/4.8/4.6/4.4/4.2/4,70,马可波罗向周围发射弹幕触发普攻的发球效果并加速，造成200/250/300（+30%物理加成）点物理伤害，额外攻击速度会影响技能射出的弹幕波数，在攻速达到0/75%/150%时射出子弹数5/7/9；被动：马可波罗身边5500范围内存在敌方英雄时，提升20%的伤害和25%移动速度；,40/35/30,70,闪电匕首,无尽战刃,泣血之刃,急速战靴,破甲弓,影刃,孙膑,牛魔,项羽,鲁班七号,兰陵王,花木兰,远程,200,50,50,175,91,3041,46,360, 突进  射手 
雅典娜,被动：雅典娜死亡后在当前位置觉醒真身，以真身形态继续移动，对双方都可视；并在真身位置复活，向着雅典娜移动的友军英雄将会获得加速效果；作为造物主的古神，雅典娜对野怪/小兵造成额外25%的伤害。,雅典娜举盾向前，造成290/350/410/470/530/590（+63%物理加成）点法术伤害与击退，并生成一个持续1秒的护盾可抵免375/465/555/645/735/825（+82%物理加成）点伤害，护盾持续时间之内雅典娜免疫控制。,6,60,雅典娜向指定方向跳跃，并使得下一次普通攻击强化为一个非常强大的枪刺，造成290/350/410/470/530/590（+145%物理加成）点物理伤害；对英雄连续的第三次枪刺将贯穿目标，造成目标已损失生命25%的物理伤害，1、3技能的护盾命中会减少2技能4秒的冷却时间,8/7.6/7.2/6.8/6.4/6,60,雅典娜举起圣盾，产生一个巨大的护盾持续1.5秒可抵免1100/1570/2040（+100%物理加成）点伤害，护盾持续过程中免疫控制，1.5秒后圣盾碎裂对范围内敌人造成450/645/840（+100%物理加成）点法术伤害与减速效果。,9/15/12,90,暗影战斧,影忍之足,宗师之力,暴烈之甲,不死鸟之眼,冰霜长矛,韩信,花木兰,后羿,王昭君,孙膑,关羽,近程,430,15,50,162,106,2862,44,410, 近战  战士 
夏侯惇,被动：夏侯惇生命值低于50%时，每一次技能或普通攻击命中目标都会为其回复生命值2%，持续8秒.（该效果每60秒冷却一次）,夏侯惇挥动大刀，向前发射一道刃风.对刃风命中的敌人造成240/290/340/390/440/490（+100%物理加成）点物理伤害并减速，刃风命中英雄后可再次施放豪气斩，击飞前方一定区域的敌人造成240（+100%物理加成）点物理伤害.,7,50,夏侯惇获得一个额外最大生命值10%的护盾，对周围敌人造成200/225/250/275/300/325（+70%物理加成）点法术伤害.夏侯惇8秒内的下三次普通攻击获得额外的100/120/140/160/180/200点真实伤害，并减少1秒不羁之刃的冷却时间.,12/11/10/9/8/7,60,夏侯惇扔出链刃将自己拉向既定位置，对范围敌人造成300/425/550（+118%物理加成)点物理伤害并使第一个碰撞到的敌人昏迷1秒，夏侯惇飞抵目标区域后还将追加300（+118%物理加成）点物理伤害.,1/15/00,80,暗影战斧,冷静之靴,泣血之刃,破甲弓,不祥征兆,暴烈之甲,韩信,花木兰,狄仁杰,兰陵王,孙尚香,貂蝉,近程,430,15,50,159,101,3307,51,380, 战士  控制 
蔡文姬,被动：蔡文姬受到伤害后短暂提升自身移速并回复自身生命250（+50%法术加成）点，持续2秒，这个效果每10秒只会触发一次,蔡文姬演奏乐曲，自身移动速度提升20%，为自身和周围的友方英雄每0.5秒恢复60/66/72/78/84/90（+20%法术加成）点生命值，持续3秒,15/14.4/13.8/13.2/12.6/12,100,蔡文姬向指定方向弹奏一束音波，音波会在敌方单位之间弹射，造成250/290/330/370/410/450（+36%法术加成）点法术伤害和短暂眩晕，最多弹射6次，同一目标最多受到2次弹射效果，若受到多次弹射伤害后续伤害衰减50%。,9,70,蔡文姬释放琴音（持续5秒），增加范围内友方英雄200/250/300点物理和法术防御，并每0.5秒为血量最低的友方英雄恢复150/200/250（+35%法术加成）生命值,2/29/00,120,近卫荣耀,冷静之靴,圣杯,极寒风暴,梦魇之牙,贤者之书,孙尚香,鲁班七号,程咬金,露娜,韩信,花木兰,远程,470,17,50,159,96,3238,38,360, 辅助  远程 
关羽,被动：关羽每主动移动100距离速度将提高2%，移动达到2000距离时将进入冲锋状态.冲锋时对敌人造成普攻伤害并附带自身最大生命值12%的物理伤害.该姿态下关羽受到减速或者控制导致其速度低于375时.将停止冲锋。冲锋姿态普攻可击退敌人，面朝敌方将获得20%移动加速.,关羽旋转大刀对附近造成敌人215/430/645/860/1075/1290（+127%物理加成）点物理伤害.冲锋姿态下将发起冲锋造成（+100%物理加成）（+最大生命值的12%）点物理伤害，并在结束时向前劈砍，造成250/500/750/1000/1250/1500（+150%物理加成）点物理伤害,8/7.2/6.4/5.6/4.8/4,0,关羽清啸一声，大幅度增加自身移动速度并解除自身控制效果。冲锋姿态下前跃击退敌人，造成335/470/605/740/875/1010（+112%物理加成）点物理伤害，增加自身移速解除控制效果,14,0,关羽激发潜能，将冲锋准备距离从100缩短至50持续10秒。冲锋姿态下召唤铁骑突击撞退敌人，冲锋造成（+100%物理加成）（+最大生命值的12%）点物理伤害，将冲锋准备距离从100缩短至50%持续10秒。,70/55/40,0,抵抗之靴,暗影战斧,冰痕之握,不死鸟之眼,不祥征兆,反伤刺甲,鲁班七号,宫本武藏,王昭君,狄仁杰,孙尚香,孙膑,近程,10,0,50,170,101,3322,51,380, 战士  突进 
虞姬,被动：脱战后，树神之力加持虞姬下一次普攻为树神束缚造成200(+200%物理加成)点物理伤害并且攻击距离提升，树神束缚对目标造成衰减1.5秒的90%减速,虞姬蓄力后，发射一支携树神加持的强力弩矢，弩矢对飞行路线上第一个敌人造成365/475/585/695/805/915（+180%物理加成）点物理伤害，后续命中一个敌人衰减10%伤害，最低衰减到60%伤害,5,50,增加虞姬30%/36%/42%/48%/54%/60%的移动速度，期间能闪避所有的物理攻击，并在技能开启时，清空自身减速效果,15/14/13/12/11/10,80,虞姬冲向目标使敌人短暂晕眩并附带树神束缚的减速效果，然后在后跳过程中对敌人快速射出2支弩失，每支造成220/280/340（+120%物理加成）点物理伤害。后跳过程中免疫控制。,20/17/14,100,无尽战刃,闪电匕首,急速战靴,泣血之刃,破甲弓,影刃,项羽,廉颇,露娜,貂蝉,韩信,花木兰,远程,440,16,50,165,84,2977,36,340, 突进  射手 
安琪拉,被动：使用技能会对敌人造成额外灼烧伤害，可以在短时间内叠加至多10层,安琪拉召唤5颗火球朝指定位置攻击，每颗火球对敌人造成350/390/430/470/510/550（+30%法术加成）点法术伤害。当敌人被多颗火球命中时，额外的火球只能造成30%伤害。火球命中英雄时会停止移动并销毁。,6,70,安琪拉朝指定位置释放混沌火种，火种在触碰敌人或者散播到最远距离时，裂变为火焰漩涡使命中的敌方短暂眩晕，之后缓慢飞行对周围的敌人每次灼伤造成130/145/160/175/190/205（+17%法术加成）点法术伤害并减速。,10/9.6/9.2/8.8/8.4/8,80,安琪拉蓄力朝面前持续释放炽热光辉，对触碰的敌人每0.3秒造成150/190/230（+21%法术加成）点法术伤害并获得炽热护盾，护盾存在期间不会受到控制效果，护盾可抵免600/800/1000（+60%法术加成）点伤害。（施法1秒后再次释放该技能可以取消引导）,30/26/22,120,时之预言,秘法之靴,博学者之怒,巫术法杖,冰霜法杖,贤者之书,韩信,项羽,狄仁杰,孙尚香,庄周,孙膑,远程,490,17,50,170,83,3323,47,360, 远程消耗  法师 
项羽,被动：当生命低于30%，项羽可在6秒内获得30%伤害输出加成与40%免伤加成，此效果有120秒CD,项羽向前冲锋，每段打击对敌人造成100/115/130/145/160/175（+43%物理加成）点物理伤害和击退效果，最后一段将造成击飞效果，命中敌方会减少该技能30%冷却时间,12/11.6/11.2/10.8/10.4/10,60,项羽发出怒吼，对范围内的敌人造成减速与150/180/210/240/270/300（+80%物理加成）点法术伤害，并减少敌人的伤害输出25/28/31/34/37/40%持续2秒。被动：可固定格挡减少每次伤害4/8/12/16/20/24点,12/11.6/11.2/10.8/10.4/10,50,项羽在持续的蓄力后对面前的目标造成860/1075/1290（+158%物理加成）点物理伤害，被枪刃命中的敌人会受到额外的眩晕效果,40/35/30,100,抵抗之靴,红莲斗篷,不死鸟之眼,近卫荣耀,极寒风暴,破军,鲁班七号,武则天,狄仁杰,孙尚香,嬴政,武则天,近程,420,15,50,175,123,3535,58,370, 坦克  团控  先手 
